Spalte1;Column1;Column12;Column2;Column3;Column4;Column5;lat;lng;Web-URL;WZ;Umsatz normiert;Finanzierungsgeschäft;Provision;Zahlungsverkehr;Ertragspotenzial;Ansprechpartner;E-Mail;Bonität;Straße
93;46340;46000;Pernod Ricard Deutschland GmbH;50674;Köln;344.589 T€ (2012);50,93148422;6,933364868;https://www.pernod-ricard.de;Großhandel; 344.589.000   ; 2.550   ; 1.751   ; 1.902   ; 6.203   ;Maria Bergmann;Maria.Bergmann@pernod-ricard.de;2D;DasselStraße 68
94;70101;70000;Klosterfrau Deutschland GmbH;50670;Köln;337.057 T€ (2016);50,98091;6,94411;http://www.klosterfrau.de;Dienstleistung; 337.057.000   ; 4.180   ; 1.011   ; 876   ; 6.067   ;Michaela Thomas;Michaela.Thomas@klosterfrau.de;2C;KlarissenWeg 1
95;45100;45000;AUTOH. JACOB FLEISCHHAUER KÖLN;50823;Köln;336.770 T€ (2013);50,94260788;6,96796608;https://www.fleischhauer.com;Großhandel; 336.770.000   ; 2.458   ; 983   ; 2.688   ; 6.129   ;Sven Voigt;Sven.Voigt@fleischhauer.com;3E;
96;21200;21000;MADAUS HOLDING GmbH;51067;Köln;335.135 T€ (2006);50,96445847;7,040765762;;Industrie/ Handwerk; 335.135.000   ; 4.156   ; 1.408   ; 468   ; 6.032   ;Jördis Sauer;;3D;BurgwiesenStraße 60
97;;;Microlog Logistics AG;50858;Köln;327.521 T€ (2006);50,92154694;6,857530117;http://mylogistics.net;; 327.521.000   ; 3.963   ; 1.651   ; 347   ; 5.961   ;Nele Arnold;Nele.Arnold@mylogistics.net;3A;
98;;;Microlog Immobilien GmbH;51107;Köln;327.521 T€ (2006);50,92203522;7,077070236;;; 327.521.000   ; 2.784   ; 1.664   ; 1.578   ; 6.026   ;Hedda Wolff;;2D;Birkenallee 28
99;70220;70000;SQS SOFTWARE QUALITY SYSTEMS AG KÖLN;51149;Köln;327.103 T€ (2016);50,94260788;6,96796608;https://www.sqs.com;Dienstleistung; 327.103.000   ; 3.173   ; 981   ; 1.799   ; 5.953   ;Torsten Pfeiffer;Torsten.Pfeiffer@sqs.com;2B;
100;64910;64000;Volvo Auto Leasing Deutschland GmbH;50996;Köln;323.006 T€ (2006);50,8836441;6,986876011;https://www.volvocars.com;Dienstleistung; 323.006.000   ; 3.618   ; 1.576   ; 685   ; 5.879   ;Gesine Schubert;Gesine.Schubert@volvocars.com;2C;Schillingsrotter Straße 100
101;68320;68000;GAG Immobilien AG;50933;Köln;319.398 T€ (2016);50,94226074;6,880349159;;Bau- und Ausbaugewerbe; 319.398.000   ; 3.705   ; 1.482   ; 1.137   ; 6.324   ;Kjell Vogel;;1D;WendelinStraße 90
102;45100;45000;PSA RETAIL GMBH;51149;Köln;318.013 T€ (2013);50,90459442;7,047994137;https://www.psa-retail.de;Großhandel; 318.013.000   ; 2.735   ; 1.552   ; 2.010   ; 6.297   ;Linda Friedrich;Linda.Friedrich@psa-retail.de;2A;Schwarzer Weg
103;;;SH Telekommunikation Deutschland GmbH;50667;Köln;316.919 T€ (2014);50,93931961;6,95490694;https://sh.de;; 316.919.000   ; 2.979   ; 989   ; 1.800   ; 5.768   ;Ruth Keller;Ruth.Keller@sh.de;2C;MinoritenStraße 9
104;;;ROLEX Deutschland Gesellschaft mit beschränkter Haftung;50667;Köln;315.007 T€ (2014);50,93931961;6,95490694;https://www.rolex.com;; 315.007.000   ; 3.339   ; 1.588   ; 932   ; 5.859   ;Eva Günther;Eva.Guenther@rolex.com;1A;MinoritenStraße 9
105;46520;46000;Tower Automotive Holding GmbH;51107;Köln;312.549 T€ (2015);50,92203522;7,077070236;https://towerinternational.com;Großhandel; 312.549.000   ; 2.500   ; 1.475   ; 2.151   ; 6.126   ;Christina Frank;Christina.Frank@towerinternational.com;3E;Birkenallee 28
106;;;B.COM Computer AG;51105;Köln;305.430 T€ (2011);50,91752625;6,995742798;;; 305.430.000   ; 2.657   ; 1.026   ; 1.815   ; 5.498   ;Lennja Berger;;3B;Rolshover Straße 525
107;;;TOYS R US GMBH KÖLN;50827;Köln;304.680 T€ (2010);50,94260788;6,96796608;http://www.toysrus.de;; 304.680.000   ; 2.651   ; 865   ; 2.212   ; 5.728   ;Rory Winkler;Rory.Winkler@toysrus.de;2D;
108;70101;70000;Taunus Beteiligungs GmbH;51103;Köln;303.229 T€ (2015);50,94011688;7,012451172;https://www.northdata.de;Dienstleistung; 303.229.000   ; 2.759   ; 1.274   ; 1.546   ; 5.579   ;Elias Roth;Elias.Roth@northdata.de;2E;DieselStraße 2A
109;;;FLUGHAFEN KÖLN BONN GMBH KÖLN;51147;Köln;297.442 T€ (2015);50,86944;7,11543;https://www.koeln-bonn-airport.de;; 297.442.000   ; 2.171   ; 1.404   ; 2.195   ; 5.770   ;Andrea Beck;Andrea.Beck@koeln-bonn-airport.de;3A;OstStraße
110;70101;70000;E&P Holding GmbH & Co. KG;50858;Köln;292.688 T€ (2010);50,92154694;6,857530117;http://www.aktionsbund.de;Dienstleistung; 292.688.000   ; 2.049   ; 1.042   ; 2.236   ; 5.327   ;Svea Lorenz;Svea.Lorenz@aktionsbund.de;2D;
111;61909;61000;MEDIA BROADCAST GmbH;51103;Köln;292.024 T€ (2015);50,94011688;7,012451172;;Dienstleistung; 292.024.000   ; 3.387   ; 1.086   ; 1.134   ; 5.607   ;Sören Baumann;;2E;DieselStraße 2A
112;71121;71000;STRABAG Infrastructure & Safety Solutions GmbH;50679;Köln;287.923 T€ (2007);50,93482208;6,981100082;http://www.strabag-iss.com;Dienstleistung; 287.923.000   ; 3.340   ; 1.313   ; 530   ; 5.183   ;Lasse Franke;Lasse.Franke@strabag-iss.com;3D;WalthariStraße 14
113;35200;35000;rhenag Rheinische Energie Aktiengesellschaft;50968;Köln;285.875 T€ (2006);50,90354538;6,9685812;https://www.rhenag.de;Dienstleistung; 285.875.000   ; 2.287   ; 800   ; 2.116   ; 5.203   ;Emma Albrecht;Emma.Albrecht@rhenag.de;1D;Bayenthalgürtel 39A
114;46712;46000;Kuttenkeuler Mineralölhandels- und Tankstellenbetriebsgesellschaft mbH;50996;Köln;285.117 T€ (2015);50,8836441;6,986876011;http://kuttenkeuler.de;Großhandel; 285.117.000   ; 2.880   ; 1.163   ; 1.659   ; 5.702   ;Fynn Schuster;Fynn.Schuster@kuttenkeuler.de;1E;Schillingsrotter Straße 100
115;49399;49000;Kölner Verkehrs-Betriebe Aktiengesellschaft;50933;Köln;284.884 T€ (2016);50,94795;6,85029;;Bau- und Ausbaugewerbe; 284.884.000   ; 3.305   ; 1.197   ; 1.082   ; 5.584   ;Carolin Simon;;3E;Kölner Straße
116;28130;28000;Leybold GmbH;50968;Köln;283.041 T€ (2015);50,89824;6,97346;;Industrie/ Handwerk; 283.041.000   ; 3.198   ; 1.325   ; 742   ; 5.265   ;Oliver Ludwig;;2D;LeyboldStraße 54B
117;70100;70000;Belron GmbH;50997;Köln;281.791 T€ (2015);50,86512375;6,959179878;;Dienstleistung; 281.791.000   ; 2.508   ; 1.308   ; 1.313   ; 5.129   ;Svenja Böhm;;3C;Am KirchWeg 13
118;;;KARSTADT FEINKOST GMBH CO KG KÖLN;50933;Köln;277.969 T€ (2015);50,94260788;6,96796608;https://karstadt-lebensmittel.de;; 277.969.000   ; 1.974   ; 1.434   ; 1.818   ; 5.226   ;Gunnar Winter;Gunnar.Winter@karstadt-lebensmittel.de;3E;
119;;;Emons Spedition GmbH;51105;Köln;276.265 T€ (2015);50,91752625;6,995742798;https://www.emons.de;; 276.265.000   ; 2.376   ; 1.171   ; 1.426   ; 4.973   ;Ben Kraus;Ben.Kraus@emons.de;1D;Rolshover Straße 525
120;43342;43000;Carglass GmbH;50997;Köln;274.167 T€ (2010);50,86512375;6,959179878;;Bau- und Ausbaugewerbe; 274.167.000   ; 3.153   ; 954   ; 1.267   ; 5.374   ;Josef Martin;;3C;Am KirchWeg 13
121;35000;35000;Next Kraftwerke GmbH;50825;Köln;273.618 T€ (2015);50,95500565;6,911117077;https://www.next-kraftwerke.de;Dienstleistung; 273.618.000   ; 2.599   ; 865   ; 1.954   ; 5.418   ;Dana Schumacher;Dana.Schumacher@next-kraftwerke.de;2A;MarienStraße 68
122;20590;20000;Agfa-Gevaert Graphic Systems GmbH;50670;Köln;270.816 T€ (2006);50,95000458;6,944939137;https://www.hessenchemie.de;Industrie/ Handwerk; 270.816.000   ; 3.494   ; 834   ; 1.088   ; 5.416   ;Lukas Krämer;Lukas.Kraemer@hessenchemie.de;2E;Im MediaPark 6C
123;59110;59000;Colonia Media Filmproduk- tionsgesellschaft mbH;50933;Köln;264.708 T€ (2005);50,94226074;6,880349159;;Dienstleistung; 264.708.000   ; 2.144   ; 1.228   ; 1.657   ; 5.029   ;Ilka Vogt;;3A;WendelinStraße 90
124;68310;68000;Saar-Industrie (gegründet 1920) Gesellschaft mit beschränkter Haftung;50735;Köln;261.642 T€ (2008);51,02016;6,94673;;Bau- und Ausbaugewerbe; 261.642.000   ; 3.035   ; 1.193   ; 691   ; 4.919   ;Xanthippe Stein;;3D;IndustrieStraße
125;38210;38000;B.U.S. Berzelius Umwelt-Service Aktiengesellschaft;50670;Köln;256.981 T€ (2002);50,95000458;6,944939137;http://hvinfo.de;Industrie/ Handwerk; 256.981.000   ; 2.236   ; 1.162   ; 1.228   ; 4.626   ;Thomas Jäger;Thomas.Jaeger@hvinfo.de;1D;Im MediaPark 6C
126;37001;37000;DKR Deutsche Gesellschaft für Kreislaufwirtschaft und Rohstoffe mbH;51145;Köln;256.384 T€ (2013);50,88391876;7,077330112;https://www.neue-verpackung.de;Dienstleistung; 256.384.000   ; 2.743   ; 1.272   ; 805   ; 4.820   ;Mia Otto;Mia.Otto@neue-verpackung.de;3D;Pfaffenpfad 13
127;70101;70000;IBG Industrie-Beteiligungs Gesellschaft mbH & Co. Kommanditgesellschaft;50968;Köln;254.576 T€ (2015);50,90354538;6,9685812;https://www.ibg-group.de;Dienstleistung; 254.576.000   ; 2.877   ; 1.110   ; 697   ; 4.684   ;Jan Sommer;Jan.Sommer@ibg-group.de;2C;Bayenthalgürtel 39A
128;45310;45000;Collins & Aikman Automotive Trim GmbH;50769;Köln;251.499 T€ (2004);51,04626083;6,850763798;;Großhandel; 251.499.000   ; 2.213   ; 966   ; 1.599   ; 4.778   ;Leonie Groß;;1E;BaptistStraße 44
129;62030;62000;NetCologne Gesellschaft für Telekommunikation mit beschränkter Haftung;50829;Köln;249.742 T€ (2015);50,97174835;6,860268116;;Dienstleistung; 249.742.000   ; 3.172   ; 869   ; 454   ; 4.495   ;Finja Seidel;;1C;Freimersdorfer Weg 6
130;64910;64000;ABCFINANCE GMBH KÖLN;50672;Köln;248.714 T€ (2006);50,94260788;6,96796608;https://www.abcfinance.de;Dienstleistung; 248.714.000   ; 3.109   ; 726   ; 1.090   ; 4.925   ;Paul Heinrich;Paul.Heinrich@abcfinance.de;1A;
131;70109;70000;VAPIANO SE BONN;50678;Köln;248.614 T€ (2016);50,92593384;6,961803913;https://de.vapiano.com;Dienstleistung; 248.614.000   ; 2.188   ; 1.134   ; 1.501   ; 4.823   ;Finn Brandt;Finn.Brandt@de.vapiano.com;3B;BiberStraße 14
132;28491;28000;KHD Humboldt Wedag Vermögensverwaltungs-AG;51067;Köln;240.190 T€ (2014);50,96445847;7,040765762;http://hvinfo.de;Industrie/ Handwerk; 240.190.000   ; 2.258   ; 711   ; 1.787   ; 4.756   ;Ida Haas;Ida.Haas@hvinfo.de;2B;BurgwiesenStraße 60
133;43291;43000;Carrier Kältetechnik Deutschland GmbH;50999;Köln;237.471 T€ (2015);50,87046051;7,015705109;https://www.carrier.com;Bau- und Ausbaugewerbe; 237.471.000   ; 2.873   ; 1.102   ; 679   ; 4.654   ;Kimi Schreiber;Kimi.Schreiber@carrier.com;3C;SchlehenWeg 15
134;70101;70000;CORPUS SIREO Real Estate GmbH;50931;Köln;237.323 T€ (2013);50,93260956;6,919215202;https://www.corpus-sireo.com;Dienstleistung; 237.323.000   ; 2.136   ; 902   ; 1.471   ; 4.509   ;Alexander Graf;Alexander.Graf@corpus-sireo.com;2D;FrangenheimStraße 28A
135;46420;46000;SNIPES SE KÖLN;51063;Köln;236.276 T€ (2016);50,94260788;6,96796608;https://www.snipes.com;Großhandel; 236.276.000   ; 2.197   ; 1.229   ; 1.016   ; 4.442   ;Fiete Schulte;Fiete.Schulte@snipes.com;3B;
136;70101;70000;Wolters Kluwer Germany Holding GmbH;50939;Köln;236.000 T€ (2015);50,90568924;6,924170017;;Dienstleistung; 236.000.000   ; 2.714   ; 821   ; 760   ; 4.295   ;Arvid Dietrich;;2E;DrachenfelsStraße 50
137;70109;70000;HDI Kundenservice AG;50679;Köln;234.443 T€ (2010);50,93482208;6,981100082;;Dienstleistung; 234.443.000   ; 1.946   ; 938   ; 1.430   ; 4.314   ;Luca Ziegler;;3E;WalthariStraße 14
138;42990;42000;F. Kirchhoff GmbH;50679;Köln;234.003 T€ (2007);50,93482208;6,981100082;;Bau- und Ausbaugewerbe; 234.003.000   ; 2.457   ; 721   ; 1.362   ; 4.540   ;Nils Kuhn;;3A;WalthariStraße 14
139;96090;96000;Koelnmesse GmbH;50679;Köln;231.215 T€ (2014);50,9447;6,98891;;Dienstleistung; 231.215.000   ; 2.890   ; 1.017   ; 486   ; 4.393   ;Julia Kühn;;1A;Anschlussstelle Köln-Messe
140;;;Malteser Hilfsdienst gemeinnützige GmbH;51103;Köln;229.438 T€ (2014);50,94011688;7,012451172;https://www.malteser.de;; 229.438.000   ; 1.767   ; 1.166   ; 1.564   ; 4.497   ;Lara Pohl;Lara.Pohl@malteser.de;1E;DieselStraße 2A
141;64910;64000;GE Capital Solutions GmbH & Co. KG;50677;Köln;227.829 T€ (2007);50,92203522;6,949436188;;Dienstleistung; 227.829.000   ; 2.324   ; 902   ; 1.194   ; 4.420   ;Noah Engel;;1C;KleingedankStraße 11
142;66190;66000;OVB HOLDING AG KÖLN;50667;Köln;218.693 T€ (2016);50,94260788;6,96796608;https://www.ovb.eu;Dienstleistung; 218.693.000   ; 2.121   ; 910   ; 1.212   ; 4.243   ;Hauke Horn;Hauke.Horn@ovb.eu;1B;
143;37000;37000;Stadtentwässerungsbetriebe Köln AöR;51109;Köln;212.224 T€ (2016);50,94448853;7,074205875;https://www.steb-koeln.de;Dienstleistung; 212.224.000   ; 2.377   ; 891   ; 679   ; 3.947   ;Maria Busch;Maria.Busch@steb-koeln.de;2C;Mucher Straße 11
144;41201;41000;Bauwens Construction GmbH & Co. KG;50676;Köln;211.801 T€ (2013);50,93032074;6,951852798;https://www.bauwens.de;Bau- und Ausbaugewerbe; 211.801.000   ; 2.415   ; 1.051   ; 558   ; 4.024   ;Michaela Bergmann;Michaela.Bergmann@bauwens.de;1D;Perlengraben 75
145;29320;29000;Grupo Antolin Logistik Deutschland GmbH;51063;Köln;211.232 T€ (2016);50,9667511;7,014326096;http://www.grupoantolin.com;Industrie/ Handwerk; 211.232.000   ; 1.964   ; 727   ; 1.280   ; 3.971   ;Sven Koch;Sven.Koch@grupoantolin.com;2D;SchanzenStraße 14
146;82999;82000;HBS Global Properties Germany GmbH;50676;Köln;209.034 T€ (2017);50,93032074;6,951852798;http://hbsglobalproperties.com;Dienstleistung; 209.034.000   ; 2.425   ; 911   ; 719   ; 4.055   ;Jördis Bauer;Joerdis.Bauer@hbsglobalproperties.com;3E;Perlengraben 75
147;;;Grupo Antolin Logistik Deutschland GmbH;51063;Köln;201.955 T€ (2006);50,9667511;7,014326096;http://www.grupoantolin.com;; 201.955.000   ; 1.595   ; 614   ; 1.628   ; 3.837   ;Nele Richter;Nele.Richter@grupoantolin.com;3C;SchanzenStraße 14
148;60200;60000;UNITYMEDIA HESSEN GMBH CO KG KÖLN;50933;Köln;200.729 T€ (2009);50,94260788;6,96796608;https://www.unitymedia.de;Dienstleistung; 200.729.000   ; 2.589   ; 972   ; 92   ; 3.653   ;Hedda Klein;Hedda.Klein@unitymedia.de;3A;
149;46750;46000;IMCD Deutschland GmbH & Co. KG;50668;Köln;198.545 T€ (2015);50,94987869;6,96416378;https://www.imcdgroup.com;Großhandel; 198.545.000   ; 1.668   ; 667   ; 1.517   ; 3.852   ;Torsten Wolf;Torsten.Wolf@imcdgroup.com;2B;Theodor-Heuss-Ring 50
150;26111;26000;Energiebau Solarstromsysteme GmbH;50829;Köln;196.693 T€ (2012);50,97174835;6,860268116;https://www.solaranlage.de;Industrie/ Handwerk; 196.693.000   ; 2.046   ; 810   ; 999   ; 3.855   ;Gesine Schröder;Gesine.Schroeder@solaranlage.de;1D;Freimersdorfer Weg 6
151;60100;60000;Deutschlandradio (DRadio) Körperschaft des öffentlichen Rechts;50968;Köln;195.365 T€ (2013);50,90354538;6,9685812;https://www.deutschlandradio.de;Dienstleistung; 195.365.000   ; 2.462   ; 664   ; 703   ; 3.829   ;Kjell Neumann;Kjell.Neumann@deutschlandradio.de;3E;Bayenthalgürtel 39A
152;46510;46000;Electronic Arts GmbH;50678;Köln;193.544 T€ (2017);50,92593384;6,961803913;https://www.ea.com;Großhandel; 193.544.000   ; 1.761   ; 983   ; 856   ; 3.600   ;Linda Schwarz;Linda.Schwarz@ea.com;2E;BiberStraße 14
153;;;Bauwens Kapitalbeteiligung GmbH;50676;Köln;189.043 T€ (2005);50,93032074;6,951852798;https://www.bauwens.de;; 189.043.000   ; 2.287   ; 824   ; 556   ; 3.667   ;Ruth Zimmermann;Ruth.Zimmermann@bauwens.de;1C;Perlengraben 75
154;41201;41000;STRABAG Real Estate GmbH;50679;Köln;188.085 T€ (2015);50,93482208;6,981100082;http://www.strabag-real-estate.com;Bau- und Ausbaugewerbe; 188.085.000   ; 2.351   ; 910   ; 463   ; 3.724   ;Eva Braun;Eva.Braun@strabag-real-estate.com;3B;WalthariStraße 14
155;77390;77000;CHEP Deutschland GmbH;50679;Köln;184.006 T€ (2016);50,93482208;6,981100082;https://www.chep.com;Dienstleistung; 184.006.000   ; 1.730   ; 633   ; 1.060   ; 3.423   ;Christina Krüger;Christina.Krueger@chep.com;1B;WalthariStraße 14
156;46494;46000;FREYTAG & PETERSEN KÖLN;50739;Köln;183.285 T€ (2007);50,94260788;6,96796608;https://www.igepa.de;Großhandel; 183.285.000   ; 1.979   ; 521   ; 982   ; 3.482   ;Lennja Hofmann;Lennja.Hofmann@igepa.de;1B;
157;70101;70000;Wolters Kluwer Germany Holding GmbH;50939;Köln;183.054 T€ (2003);50,90568924;6,924170017;;Dienstleistung; 183.054.000   ; 2.123   ; 644   ; 528   ; 3.295   ;Rory Hartmann;;3D;DrachenfelsStraße 50
158;84110;84000;Beitragsservice der öffentlich-rechtlichen Landesrundfunkanstaltenn(ARD), des Zweiten Deutschen Fernsehen (ZDF) und des Deutschlandradio;50829;Köln;182.386 T€ (2013);50,97174835;6,860268116;https://www.rundfunkbeitrag.de;Dienstleistung; 182.386.000   ; 1.933   ; 839   ; 511   ; 3.283   ;Elias Lange;Elias.Lange@rundfunkbeitrag.de;2C;Freimersdorfer Weg 6
159;82999;82000;TURI Holding GmbH;51105;Köln;182.024 T€ (2015);50,91752625;6,995742798;https://www.northdata.de;Dienstleistung; 182.024.000   ; 1.747   ; 670   ; 969   ; 3.386   ;Andrea Schmitt;Andrea.Schmitt@northdata.de;2D;Rolshover Straße 525
160;70101;70000;Wolters Kluwer Deutschland GmbH;50939;Köln;181.977 T€ (2006);50,90748;6,91782;https://www.wolterskluwer.de;Dienstleistung; 181.977.000   ; 2.129   ; 560   ; 951   ; 3.640   ;Svea Werner;Svea.Werner@wolterskluwer.de;1B;Rolandswerther Straße 6
161;41103;41000;DEUTSCHE REIHENHAUS AG KÖLN;51105;Köln;177.529 T€ (2016);50,94260788;6,96796608;https://www.reihenhaus.de;Bau- und Ausbaugewerbe; 177.529.000   ; 1.598   ; 760   ; 873   ; 3.231   ;Sören Schmitz;Soeren.Schmitz@reihenhaus.de;1E;
162;55101;55000;Dorint GmbH;50858;Köln;175.920 T€ (2015);50,92154694;6,857530117;;Dienstleistung; 175.920.000   ; 1.566   ; 507   ; 1.129   ; 3.202   ;Lasse Krause;;3D;
163;64200;64000;VanCamel AG;50678;Köln;175.426 T€ (2013);50,92593384;6,961803913;;Dienstleistung; 175.426.000   ; 1.456   ; 498   ; 1.414   ; 3.368   ;Emma Meier;;2E;BiberStraße 14
164;45110;45000;Procar Automobile GmbH & Co. KG;50858;Köln;173.027 T€ (2008);50,92154694;6,857530117;https://www.procar-automobile.de;Großhandel; 173.027.000   ; 2.249   ; 741   ; 298   ; 3.288   ;Fynn Lehmann;Fynn.Lehmann@procar-automobile.de;2A;
165;35130;35000;rhenag Rheinische Energie Aktiengesellschaft;50968;Köln;169.344 T€ (2003);50,90354538;6,9685812;https://www.rhenag.de;Dienstleistung; 169.344.000   ; 1.321   ; 853   ; 1.010   ; 3.184   ;Carolin Schmid;Carolin.Schmid@rhenag.de;3E;Bayenthalgürtel 39A
166;26200;26000;Siemens Product Lifecycle Management Software (DE) GmbH;50674;Köln;168.614 T€ (2008);50,93148422;6,933364868;https://www.plm.automation.siemens.com;Industrie/ Handwerk; 168.614.000   ; 2.141   ; 762   ; 233   ; 3.136   ;Oliver Schulze;Oliver.Schulze@plm.automation.siemens.com;3B;DasselStraße 68
167;27900;27000;TOTAL WALTHER GmbH Feuerschutz und Sicherheit;51069;Köln;167.684 T€ (2016);50,98392;7,07352;https://www.tyco.de;Industrie/ Handwerk; 167.684.000   ; 2.012   ; 852   ; 356   ; 3.220   ;Svenja Maier;Svenja.Maier@tyco.de;3A;WaltherStraße 51
168;;;Bw Bekleidungsmanagement GmbH;51149;Köln;167.169 T€ (2013);50,90459442;7,047994137;;; 167.169.000   ; 1.655   ; 468   ; 1.187   ; 3.310   ;Gunnar Köhler;;2C;Schwarzer Weg
169;45100;45000;Hammer + Co. GmbH;50968;Köln;166.342 T€ (2007);50,90354538;6,9685812;https://www.autoplenum.de;Großhandel; 166.342.000   ; 2.113   ; 765   ; 349   ; 3.227   ;Ben Herrmann;Ben.Herrmann@autoplenum.de;1B;Bayenthalgürtel 39A
170;74900;74000;A. Himmelreich GmbH & Co. Kommanditgesellschaft;51149;Köln;165.817 T€ (2015);50,90459442;7,047994137;https://www.dtad.de;Dienstleistung; 165.817.000   ; 1.459   ; 537   ; 1.155   ; 3.151   ;Josef König;Josef.Koenig@dtad.de;3B;Schwarzer Weg
171;68201;68000;Aachener Siedlungs- und Wohnungsgesellschaft mbH;50668;Köln;165.067 T€ (2015);50,94987869;6,96416378;https://www.aachener-swg.de;Bau- und Ausbaugewerbe; 165.067.000   ; 1.997   ; 594   ; 512   ; 3.103   ;Dana Walter;Dana.Walter@aachener-swg.de;3C;Theodor-Heuss-Ring 50
172;41201;41000;Sprint Sanierung GmbH;51061;Köln;164.914 T€ (2015);50,99834061;6,991382122;;Bau- und Ausbaugewerbe; 164.914.000   ; 1.517   ; 831   ; 917   ; 3.265   ;Lukas Mayer;;3C;SemmelweisStraße 111
173;60200;60000;RTL DISNEY Fernsehen GmbH & Co. KG;50679;Köln;163.111 T€ (2016);50,93482208;6,981100082;http://www.superrtl.de;Dienstleistung; 163.111.000   ; 1.941   ; 711   ; 578   ; 3.230   ;Ilka Huber;Ilka.Huber@superrtl.de;2E;WalthariStraße 14
174;82999;82000;STRABAG BMTI GmbH & Co. KG;50679;Köln;162.753 T€ (2015);50,93482208;6,981100082;http://www.bmti.strabag.com;Dienstleistung; 162.753.000   ; 1.644   ; 710   ; 901   ; 3.255   ;Xanthippe Kaiser;Xanthippe.Kaiser@bmti.strabag.com;2E;WalthariStraße 14
175;70220;70000;BwConsulting GmbH;51149;Köln;162.641 T€ (2005);50,90459442;7,047994137;;Dienstleistung; 162.641.000   ; 1.822   ; 690   ; 643   ; 3.155   ;Thomas Fuchs;;1C;Schwarzer Weg
176;70101;70000;FRANCA AG;50968;Köln;161.579 T€ (2016);46,62184143;2,451942921;https://br.answers.yahoo.com;Dienstleistung; 161.579.000   ; 1.648   ; 672   ; 912   ; 3.232   ;Mia Peters;Mia.Peters@br.answers.yahoo.com;1A;88 Lieu-dit Pré de l'Acsence
177;62030;62000;Gothaer Systems GmbH;50969;Köln;161.093 T€ (2016);50,91622;6,93952;https://www.gothaer.de;Dienstleistung; 161.093.000   ; 1.498   ; 515   ; 1.177   ; 3.190   ;Jan Lang;Jan.Lang@gothaer.de;2A;Gothaer Allee 3
178;46461;46000;Madaus GmbH;51067;Köln;159.619 T€ (2015);50,96445847;7,040765762;;Großhandel; 159.619.000   ; 1.884   ; 632   ; 613   ; 3.129   ;Leonie Scholz;;2D;BurgwiesenStraße 60
179;46750;46000;ADAMA Deutschland GmbH;51149;Köln;158.231 T€ (2015);50,90459442;7,047994137;https://www.adama.com;Großhandel; 158.231.000   ; 1.456   ; 494   ; 1.056   ; 3.006   ;Finja Möller;Finja.Moeller@adama.com;3D;Schwarzer Weg
180;46750;46000;ExxonMobil Chemical Central Europe GmbH;50735;Köln;157.095 T€ (2011);50,99375534;6,95991993;https://corporate.exxonmobil.de;Großhandel; 157.095.000   ; 1.367   ; 496   ; 1.247   ; 3.110   ;Paul Weiß;Paul.Weiss@corporate.exxonmobil.de;3E;Auf der Seekante 12
181;82999;82000;Milchverwaltung FrieslandCampina Germany GmbH;50739;Köln;157.088 T€ (2015);50,97428131;6,923274994;https://www.bloomberg.com;Dienstleistung; 157.088.000   ; 1.697   ; 610   ; 646   ; 2.953   ;Finn Jung;Finn.Jung@bloomberg.com;3E;Robert-Perthel-Straße
182;;;TÜV Rheinland Industrie Service GmbH;51105;Köln;156.446 T€ (2004);50,91752625;6,995742798;http://www.tuv.com;; 156.446.000   ; 1.643   ; 751   ; 672   ; 3.066   ;Ida Hahn;Ida.Hahn@tuv.com;1C;Rolshover Straße 525
183;61100;61000;Draka Comteq Germany GmbH & Co. KG;51063;Köln;155.740 T€ (2012);50,9667511;7,014326096;https://www.elektroniknet.de;Dienstleistung; 155.740.000   ; 1.495   ; 542   ; 860   ; 2.897   ;Kimi Schubert;Kimi.Schubert@elektroniknet.de;1A;SchanzenStraße 14
184;38100;38000;AWB Abfallwirtschaftsbetriebe Köln GmbH;50825;Köln;153.170 T€ (2016);50,95500565;6,911117077;https://www.awbkoeln.de;Industrie/ Handwerk; 153.170.000   ; 1.486   ; 723   ; 824   ; 3.033   ;Alexander Vogel;Alexander.Vogel@awbkoeln.de;2A;MarienStraße 68
185;38200;38000;SITA Umwelt Service GmbH;50999;Köln;150.619 T€ (2006);50,87046051;7,015705109;https://www.suez-deutschland.de;Industrie/ Handwerk; 150.619.000   ; 1.506   ; 590   ; 826   ; 2.922   ;Fiete Friedrich;Fiete.Friedrich@suez-deutschland.de;2C;SchlehenWeg 15
186;;;MANGO Deutschland GmbH Textilhandel;50667;Köln;147.867 T€ (2015);50,93931961;6,95490694;https://www.klartext.de;; 147.867.000   ; 1.405   ; 509   ; 807   ; 2.721   ;Arvid Keller;Arvid.Keller@klartext.de;3B;MinoritenStraße 9
187;70101;70000;KOHL-Gruppe AG;50996;Köln;147.402 T€ (2016);50,8836441;6,986876011;https://en.kohl-gruppe-ag.de;Dienstleistung; 147.402.000   ; 1.268   ; 519   ; 1.014   ; 2.801   ;Luca Günther;Luca.Guenther@en.kohl-gruppe-ag.de;3C;Schillingsrotter Straße 100
188;;;HDI-Gerling Gesellschaft für IT-Dienstleistungen mbH;50679;Köln;146.969 T€ (2009);50,93482208;6,981100082;https://www.bloomberg.com;; 146.969.000   ; 1.029   ; 741   ; 1.052   ; 2.822   ;Nils Frank;Nils.Frank@bloomberg.com;2B;WalthariStraße 14
